APO US,ATD CN,ATZ CN,BEP-U CN,BLK US,CBOE US,CIGI CN,DE US,EQB CN,HON US,IYZ US,JPM US,MSFT US,NTR CN,SBUX US,TOI CN,TTWO US,UHS US,V US,VGT US,XFN CN,XLV US,XLY US,XMA CN,XUT CN,ZIN CN
0.0,3.2451509687248886e-05,9.059768248717246e-10,4.3577671308701e-09,8.459525346784477e-09,1.8448245663175668e-08,4.257835417868787e-11,1.2096608606445471e-10,4.071843096026872e-09,0.0,5.734409352852142,6.844434104775742e-11,8.798130977550835e-13,1.4195321103576524e-11,1.673367856843038e-08,9.853103085194711e-10,9.720101296921947e-11,0.0,1.1303423975324281e-11,7.5,7.5,7.4999999999874225,3.846812647840779,7.5,7.5,7.499999987642228
1.6396043550637174e-08,9.976213719269794e-06,0.0,8.511857180464738e-09,0.0,3.644512122646937e-09,1.8495247867955644e-08,4.422955057759026e-11,0.0,7.167915219707943e-09,5.734382889037735,2.6797990909654956e-10,5.54368200650357e-09,3.163465669975274e-09,0.0,7.055612864792504e-09,8.936883091198444e-09,7.884373796201993e-09,0.0,7.499999999805354,7.5,7.499999992694498,3.8467377856097733,7.5,7.5,7.499999983681653
3.722067029587883e-08,1.1172367008534939e-05,0.0,0.0,3.5934510141805154e-08,0.0,0.0,0.0,3.3267118226820713e-09,0.0,5.734383714405128,0.0,0.0,0.0,4.575751921462312e-08,2.4724070186998848e-08,4.2828643062597926e-08,1.404066125518244e-08,0.0,7.499999961126472,7.5,7.4999999988456105,3.846744975992791,7.499999998718124,7.499999957682258,7.5
0.0,2.1994752613543603e-05,1.7749121963839265e-08,0.0,0.0,4.238663543418286e-07,0.0,2.566936350978377e-08,3.8587285970670404e-08,0.0,5.734390738372683,2.8238020324811153e-07,0.0,9.274930563157868e-09,0.0,1.4625400977102965e-07,2.862164828060232e-08,0.0,7.638622200045742e-08,7.499999899636807,7.499999968236651,7.49999993341203,3.8467869979895575,7.499999872902379,7.5,7.5
0.0,1.3404952806453374e-05,4.948430033790974e-09,5.175653287024795e-09,2.257377097747426e-09,0.0,9.3984422674942e-09,3.981168519850975e-09,0.0,0.0,5.734384453515032,5.916953038642703e-09,0.0,0.0,0.0,7.131997249720801e-09,0.0,0.0,8.35533187776294e-09,7.5,7.499999995126921,7.5,3.8467534841605358,7.4999999947388405,7.499999992723786,7.5
0.0,1.211851826078205e-05,0.0,1.8530372440477005e-09,0.0,2.886258593237656e-08,0.0,0.0,2.0303179276703887e-09,0.0,5.734383167572856,2.7078055422902203e-08,0.0,0.0,5.109824195714818e-09,0.0,9.952696392728777e-09,2.5697429427429253e-09,0.0,7.5,7.5,7.499999985600169,3.8467515250124227,7.5,7.499999979898943,7.5
1.4952554472369428e-08,1.2891648431233305e-05,1.0732592072015823e-08,3.779673785325038e-09,1.0166806285738517e-07,0.0,0.0,0.0,3.844834936539421e-08,2.5361882732832797e-08,5.734381445405681,1.42451802090382e-08,0.0,3.607416275419606e-09,4.061046607502228e-08,2.5903094426349416e-08,3.816295127134772e-08,0.0,0.0,7.499999979985613,7.5,7.4999999566373186,3.846754037227311,7.5,7.499999955516181,7.499999959325016
0.0,1.3571962726196619e-05,0.0,0.0,0.0,0.0,9.314118226688706e-09,1.7020408867030046e-08,0.0,3.725776544921677e-09,5.734383994767907,0.0,7.205441104884969e-09,0.0,1.7455712222891329e-09,3.901760164959356e-09,5.970746033007179e-09,0.0,0.0,7.499999996009032,7.5,7.499999998131508,3.8467612209539905,7.5,7.499999999110521,7.499999990048154
3.066255582773181e-10,1.4372440824365201e-05,0.0,7.874951873324681e-09,8.464478597203229e-09,4.075980872264573e-10,7.3485108623150275e-09,0.0,0.0,0.0,5.7343810000723,0.0,8.282582258933857e-09,7.600275964136927e-09,0.0,3.748585990226427e-09,0.0,0.0,1.2982130127847658e-09,7.5,7.4999999965701765,7.499999995878219,3.8467551824699506,7.5,7.4999999824502,7.499999998715724
0.0,1.0377855738999409e-05,0.0,0.0,2.2670763877297162e-08,2.9450252306273406e-08,6.726483606223077e-09,9.827021488217902e-09,4.155462605959226e-09,0.0,5.73437982144486,0.0,0.0,2.7478918706441702e-08,3.4219964882564735e-08,0.0,0.0,0.0,0.0,7.5,7.499999993173248,7.499999995851464,3.846747505796099,7.5,7.5,7.499999994786323
5.0911677651477305e-09,1.4640402335938663e-05,0.0,8.587344713355954e-09,0.0,6.752860597092347e-09,6.594625887035299e-10,7.875005508806154e-09,5.790505401559454e-09,0.0,5.734380500128577,0.0,0.0,0.0,8.282272177112526e-09,0.0,0.0,6.83640739504443e-09,2.71854396632909e-09,7.5,7.4999999847727885,7.5,3.8467661298306663,7.499999994310344,7.499999993493773,7.5
1.0521694626675071e-09,9.2889464134438e-06,0.0,0.0,4.769746056454416e-09,0.0,0.0,4.631368552554527e-09,2.227773521212839e-10,0.0,5.734377429911119,3.0716975837896676e-09,0.0,0.0,6.5316621469108105e-09,1.2666237850234019e-09,0.0,1.2262734491036431e-08,2.9762605574523704e-09,7.499999999592337,7.5,7.499999999147774,3.846744775169743,7.5,7.499999999644684,7.499999993146498
